Date,Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)
21-Sep-90,7041
28-Sep-90,7041
5-Oct-90,7261
12-Oct-90,7261
19-Oct-90,7261
26-Oct-90,7329
2-Nov-90,7342
9-Nov-90,7284
16-Nov-90,6910
23-Nov-90,7440
30-Nov-90,7235
7-Dec-90,6996
14-Dec-90,7474
21-Dec-90,7245
28-Dec-90,7559
4-Jan-91,7481
11-Jan-91,7475
18-Jan-91,7461
25-Jan-91,7219
1-Feb-91,7477
8-Feb-91,7463
15-Feb-91,7427
22-Feb-91,7415
1-Mar-91,7404
8-Mar-91,7394
15-Mar-91,7412
22-Mar-91,7385
29-Mar-91,7383
5-Apr-91,7356
12-Apr-91,7334
19-Apr-91,7370
26-Apr-91,7346
3-May-91,7295
10-May-91,7303
17-May-91,7280
24-May-91,7336
31-May-91,7323
7-Jun-91,7301
14-Jun-91,7359
21-Jun-91,7338
28-Jun-91,7377
5-Jul-91,7383
12-Jul-91,7365
19-Jul-91,7348
26-Jul-91,7355
2-Aug-91,7342
9-Aug-91,7228
16-Aug-91,7302
23-Aug-91,7215
30-Aug-91,7274
6-Sep-91,7150
13-Sep-91,7267
20-Sep-91,7327
27-Sep-91,7365
4-Oct-91,7381
11-Oct-91,7387
18-Oct-91,7381
25-Oct-91,7384
1-Nov-91,7359
8-Nov-91,7140
15-Nov-91,7426
22-Nov-91,7388
29-Nov-91,7226
6-Dec-91,7376
13-Dec-91,6731
20-Dec-91,7451
27-Dec-91,7449
3-Jan-92,7422
10-Jan-92,7410
17-Jan-92,7235
24-Jan-92,7343
31-Jan-92,7357
7-Feb-92,7382
14-Feb-92,7364
21-Feb-92,7329
28-Feb-92,7365
6-Mar-92,7357
13-Mar-92,7345
20-Mar-92,7324
27-Mar-92,7283
3-Apr-92,7327
10-Apr-92,7277
17-Apr-92,7353
24-Apr-92,7238
1-May-92,7235
8-May-92,7248
15-May-92,7160
22-May-92,7205
29-May-92,7219
5-Jun-92,7240
12-Jun-92,7228
19-Jun-92,7218
26-Jun-92,7194
3-Jul-92,7221
10-Jul-92,7125
17-Jul-92,7144
24-Jul-92,7095
31-Jul-92,7059
7-Aug-92,7124
14-Aug-92,6990
21-Aug-92,7120
28-Aug-92,6678
4-Sep-92,6847
11-Sep-92,6955
18-Sep-92,7012
25-Sep-92,7049
2-Oct-92,7046
9-Oct-92,7011
16-Oct-92,7032
23-Oct-92,7036
30-Oct-92,7041
6-Nov-92,7011
13-Nov-92,6954
20-Nov-92,6987
27-Nov-92,7064
4-Dec-92,7074
11-Dec-92,7087
18-Dec-92,7098
25-Dec-92,7053
1-Jan-93,6995
8-Jan-93,7015
15-Jan-93,6994
22-Jan-93,7043
29-Jan-93,7035
5-Feb-93,7031
12-Feb-93,7033
19-Feb-93,6960
26-Feb-93,6981
5-Mar-93,7018
12-Mar-93,6981
19-Mar-93,6979
26-Mar-93,6964
2-Apr-93,6971
9-Apr-93,6883
16-Apr-93,6896
23-Apr-93,6912
30-Apr-93,6913
7-May-93,6902
14-May-93,6846
21-May-93,6818
28-May-93,6842
4-Jun-93,6789
11-Jun-93,6817
18-Jun-93,6766
25-Jun-93,6749
2-Jul-93,6742
9-Jul-93,6772
16-Jul-93,6643
23-Jul-93,6540
30-Jul-93,6730
6-Aug-93,6753
13-Aug-93,6761
20-Aug-93,6774
27-Aug-93,6790
3-Sep-93,6734
10-Sep-93,6665
17-Sep-93,6706
24-Sep-93,6650
1-Oct-93,6684
8-Oct-93,6654
15-Oct-93,6772
22-Oct-93,6837
29-Oct-93,6868
5-Nov-93,6872
12-Nov-93,6882
19-Nov-93,6847
26-Nov-93,6878
3-Dec-93,6943
10-Dec-93,6923
17-Dec-93,6897
24-Dec-93,6854
31-Dec-93,6857
7-Jan-94,6875
14-Jan-94,6880
21-Jan-94,6845
28-Jan-94,6886
4-Feb-94,6836
11-Feb-94,6802
18-Feb-94,6546
25-Feb-94,6792
4-Mar-94,6763
11-Mar-94,6704
18-Mar-94,6728
25-Mar-94,6599
1-Apr-94,6683
8-Apr-94,6641
15-Apr-94,6711
22-Apr-94,6292
29-Apr-94,6748
6-May-94,6706
13-May-94,6657
20-May-94,6732
27-May-94,6629
3-Jun-94,6695
10-Jun-94,6530
17-Jun-94,6648
24-Jun-94,6656
1-Jul-94,6604
8-Jul-94,6591
15-Jul-94,6618
22-Jul-94,6522
29-Jul-94,6566
5-Aug-94,6582
12-Aug-94,6521
19-Aug-94,6540
26-Aug-94,6583
2-Sep-94,6552
9-Sep-94,6545
16-Sep-94,6526
23-Sep-94,6595
30-Sep-94,6640
7-Oct-94,6692
14-Oct-94,6703
21-Oct-94,6703
28-Oct-94,6633
4-Nov-94,6620
11-Nov-94,6616
18-Nov-94,6668
25-Nov-94,6626
2-Dec-94,6472
9-Dec-94,6670
16-Dec-94,6655
23-Dec-94,6703
30-Dec-94,6675
6-Jan-95,6651
13-Jan-95,6672
20-Jan-95,6571
27-Jan-95,6526
3-Feb-95,6662
10-Feb-95,6595
17-Feb-95,6613
24-Feb-95,6546
3-Mar-95,6660
10-Mar-95,6598
17-Mar-95,6632
24-Mar-95,6474
31-Mar-95,6380
7-Apr-95,6554
14-Apr-95,6597
21-Apr-95,6603
28-Apr-95,6539
5-May-95,6604
12-May-95,6610
19-May-95,6598
26-May-95,6626
2-Jun-95,6592
9-Jun-95,6593
16-Jun-95,6560
23-Jun-95,6529
30-Jun-95,6545
7-Jul-95,6518
14-Jul-95,6448
21-Jul-95,6417
28-Jul-95,6484
4-Aug-95,6444
11-Aug-95,6476
18-Aug-95,6475
25-Aug-95,6483
1-Sep-95,6507
8-Sep-95,6491
15-Sep-95,6248
22-Sep-95,6414
29-Sep-95,6450
6-Oct-95,6215
13-Oct-95,6404
20-Oct-95,6497
27-Oct-95,6512
3-Nov-95,6539
10-Nov-95,6516
17-Nov-95,6493
24-Nov-95,6484
1-Dec-95,6450
8-Dec-95,6428
15-Dec-95,6411
22-Dec-95,6467
29-Dec-95,6474
5-Jan-96,6464
12-Jan-96,6498
19-Jan-96,6516
26-Jan-96,6405
2-Feb-96,6413
9-Feb-96,6505
16-Feb-96,6511
23-Feb-96,6501
1-Mar-96,6496
8-Mar-96,6461
15-Mar-96,6490
22-Mar-96,6473
29-Mar-96,6440
5-Apr-96,6441
12-Apr-96,6390
19-Apr-96,6425
26-Apr-96,6173
3-May-96,6454
10-May-96,6065
17-May-96,6363
24-May-96,6412
31-May-96,6392
7-Jun-96,6421
14-Jun-96,6515
21-Jun-96,6452
28-Jun-96,6489
5-Jul-96,6499
12-Jul-96,6499
19-Jul-96,6345
26-Jul-96,6394
2-Aug-96,6297
9-Aug-96,6286
16-Aug-96,6445
23-Aug-96,6481
30-Aug-96,6526
6-Sep-96,6497
13-Sep-96,6498
20-Sep-96,6467
27-Sep-96,6520
4-Oct-96,6485
11-Oct-96,6485
18-Oct-96,6523
25-Oct-96,6514
1-Nov-96,6513
8-Nov-96,6541
15-Nov-96,6531
22-Nov-96,6512
29-Nov-96,6538
6-Dec-96,6534
13-Dec-96,6518
20-Dec-96,6523
27-Dec-96,6506
3-Jan-97,6454
10-Jan-97,6499
17-Jan-97,6476
24-Jan-97,6513
31-Jan-97,6505
7-Feb-97,6483
14-Feb-97,6502
21-Feb-97,6496
28-Feb-97,6501
7-Mar-97,6440
14-Mar-97,6449
21-Mar-97,6391
28-Mar-97,6409
4-Apr-97,6493
11-Apr-97,6433
18-Apr-97,6412
25-Apr-97,6465
2-May-97,6409
9-May-97,6430
16-May-97,6426
23-May-97,6423
30-May-97,6439
6-Jun-97,6435
13-Jun-97,6415
20-Jun-97,6334
27-Jun-97,6357
4-Jul-97,6338
11-Jul-97,6351
18-Jul-97,6352
25-Jul-97,6337
1-Aug-97,6360
8-Aug-97,6127
15-Aug-97,6221
22-Aug-97,6387
29-Aug-97,6400
5-Sep-97,6362
12-Sep-97,6393
19-Sep-97,6366
26-Sep-97,6396
