,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
92,1992-08-21,08-1992,4220.9,147.9,7.6,17100,6263,7120,21.39,21.43
93,1992-08-28,08-1992,4220.9,147.9,7.6,17636,6148,6678,21.43,21.66
94,1992-09-04,09-1992,4255.3,148.1,7.6,16829,5700,6847,21.66,21.94
95,1992-09-11,09-1992,4255.3,148.1,7.6,16525,6337,6955,21.94,22.21
96,1992-09-18,09-1992,4255.3,148.1,7.6,16432,6639,7012,22.21,21.71
97,1992-09-25,09-1992,4255.3,148.1,7.6,16251,5972,7049,21.71,21.81
98,1992-10-02,10-1992,4284.7,148.8,7.3,17830,6025,7046,21.81,21.9
99,1992-10-09,10-1992,4284.7,148.8,7.3,17231,6443,7011,21.9,22.25
100,1992-10-16,10-1992,4284.7,148.8,7.3,17201,8161,7032,22.25,21.58
101,1992-10-23,10-1992,4284.7,148.8,7.3,15859,5929,7036,21.58,20.95
102,1992-10-30,10-1992,4284.7,148.8,7.3,17781,6835,7041,20.95,20.52
103,1992-11-06,11-1992,4300.5,149.2,7.4,16319,6327,7011,20.52,20.37
104,1992-11-13,11-1992,4300.5,149.2,7.4,16581,5633,6954,20.37,20.35
105,1992-11-20,11-1992,4300.5,149.2,7.4,17392,6593,6987,20.35,20.16
106,1992-11-27,11-1992,4300.5,149.2,7.4,16876,6141,7064,20.16,19.38
107,1992-12-04,12-1992,4336.4,149.6,7.4,17118,6242,7074,19.38,19.01
108,1992-12-11,12-1992,4336.4,149.6,7.4,17526,6681,7087,19.01,19.38
109,1992-12-18,12-1992,4336.4,149.6,7.4,18197,6411,7098,19.38,19.91
110,1992-12-25,12-1992,4336.4,149.6,7.4,18613,5277,7053,19.91,19.63
111,1993-01-01,01-1993,4340.7,150.1,7.3,17810,5650,6995,19.63,19.0
112,1993-01-08,01-1993,4340.7,150.1,7.3,15904,7060,7015,19.0,18.62
113,1993-01-15,01-1993,4340.7,150.1,7.3,16119,6171,6994,18.62,18.61
114,1993-01-22,01-1993,4340.7,150.1,7.3,17424,6216,7043,18.61,19.9
115,1993-01-29,01-1993,4340.7,150.1,7.3,17607,6782,7035,19.9,20.22
116,1993-02-05,02-1993,4355.3,150.6,7.1,18017,6419,7031,20.22,20.13
117,1993-02-12,02-1993,4355.3,150.6,7.1,16811,6294,7033,20.13,19.51
118,1993-02-19,02-1993,4355.3,150.6,7.1,17697,5511,6960,19.51,20.4
119,1993-02-26,02-1993,4355.3,150.6,7.1,17704,6801,6981,20.4,20.69
120,1993-03-05,03-1993,4352.5,150.8,7.0,17866,5636,7018,20.69,20.45
121,1993-03-12,03-1993,4352.5,150.8,7.0,16253,7382,6981,20.45,20.14
122,1993-03-19,03-1993,4352.5,150.8,7.0,17894,5549,6979,20.14,20.0
123,1993-03-26,03-1993,4352.5,150.8,7.0,17571,7064,6964,20.0,20.44
124,1993-04-02,04-1993,4393.4,151.4,7.1,16100,5512,6971,20.44,20.37
125,1993-04-09,04-1993,4393.4,151.4,7.1,16753,7369,6883,20.37,20.28
126,1993-04-16,04-1993,4393.4,151.4,7.1,17201,6406,6896,20.28,19.95
127,1993-04-23,04-1993,4393.4,151.4,7.1,17500,6804,6912,19.95,20.3
128,1993-04-30,04-1993,4393.4,151.4,7.1,17920,7731,6913,20.3,20.47
129,1993-05-07,05-1993,4422.4,151.8,7.1,16545,6495,6902,20.47,20.06
130,1993-05-14,05-1993,4422.4,151.8,7.1,17054,6974,6846,20.06,19.43
131,1993-05-21,05-1993,4422.4,151.8,7.1,16418,6618,6818,19.43,19.84
132,1993-05-28,05-1993,4422.4,151.8,7.1,17417,6651,6842,19.84,19.95
